Airport Code,Companyia aèria,Destinació,Estat,Info,Porta,Sortida,Terminal,Vol
BRU,British Airways,Londres (LGW),en rutaretardat,,,21:2521:32,,BA2613
BRU,Ryanair,Nàpols (NAP),en rutaretardat,,3,21:2522:05,,FR4313
BRU,Vueling,Florència (FLR),en rutaretardat,,18,21:3521:46,,VY6865
BRU,Ryanair,Pisa (PSA),previstretardat,,3,21:3522:15,,FR6492
BRU,Wizz Air,Cluj-Napoca (CLJ),en ruta,,15,22:05,,W63328
BRU,Ryanair,Milà (BGY),previst,,3,22:25,,FR2893
BRU,JSC Avion ExpressAlitalia,Gudja (MLA),previst,,9,22:25,,X9 643AZ 7920
BRU,Ryanair,Bolonya (BLQ),previstretardat,,3,22:3023:05,,FR1088
BRU,easyJet,Milà (MXP),previstretardat,,105,23:0523:15,,U23550
BRU,Air Arabia,Casablanca (CMN),previst,,30,23:15,,G9486
OST,Freebird Airlines,Brusel·les (BRU),en rutaretardat,,,22:0022:40,,FH8118
OST,SunExpress,Greven (FMO),en rutaretardat,,528,22:0022:20,2,XQ254
OST,TUIfly,Londres (LGW),en rutaretardat,,233,22:0022:23,2,X3593
OST,Aeroflot,Ufà (UFA),en rutaretardat,,261,22:0022:38,2,SU799
OST,Pegasus,Wroclaw (WRO),en rutaretardat,,,22:0022:06,,PC6265
OST,SunExpress,Paderborn (PAD),en rutaretardat,,528,22:1022:35,2,XQ366
OST,Pegasusflynas,Istanbul (SAW),aterrat,,330,22:10,D,PC 2023XY 5023
OST,Turkish AirlinesAir Serbia,Istanbul (IST),en rutaretardat,,210,22:1522:26,D,TK 2433JU 8103
OST,Corendon Air,Samara (KUF),en rutaretardat,,235,22:1522:36,2,XC8061
OST,Jet2,Glasgow (GLA),en rutaretardat,,220,22:2022:42,2,LS110
OST,Sunclass Airlines,Malmö (MMX),en rutaretardat,,568,22:2022:45,2,DK807
OST,Fly2Sky,Riga (RIX),en rutaretardat,,,22:2522:42,,F64603
OST,Sunclass Airlines,Göteborg (GOT),en rutaretardat,,562,22:3022:44,2,DK615
OST,Jet2,Londres (LTN),previstretardat,,223,22:3000:00,2,LS3812
OST,SkyLine Express,Riga (RIX),en rutaretardat,,,22:3022:50,,QU933
OST,Pegasus,Colònia (CGN),en ruta,,516,22:35,2,PC5003
OST,Enter Air,Poznan (POZ),en rutaretardat,,,22:3522:49,,E44798
OST,easyJet,Londres (LTN),en rutaretardat,,238,22:4022:41,2,U22552
OST,TUIfly,Manchester (MAN),en ruta,,258,22:40,2,X3585
OST,Jet2,Newcastle (NCL),en rutaretardat,,211,22:4022:54,2,LS508
OST,Pegasus,Hannover (HAJ),en ruta,,513,22:45,2,PC5009
OST,Corendon Air,Kazan (KZN),en ruta,,271,22:45,2,XC8711
OST,Pegasus,Greven (FMO),en rutaretardat,,519,22:5023:10,2,PC5073
OST,Corendon Air,Greven (FMO),en ruta,,265,22:50,2,XC6707
OST,easyJet,Londres (LGW),previstretardat,,553,22:5023:19,2,U28558
OST,Pobeda,Moscou (VKO),en ruta,,,22:50,,DP980
OST,SunExpress,Colònia (CGN),previstretardat,,,22:5523:17,,XQ
OST,SunExpress,Colònia (CGN),en ruta,,531,22:55,2,XQ114
OST,Jet2,Edimburg (EDI),en rutaretardat,,214,23:0023:05,2,LS710
OST,Corendon Air,Amsterdam (AMS),previstretardat,,,23:0523:25,2,XC640
OST,Jet2,Nottingham (EMA),previstretardat,,218,23:0500:25,2,LS654
OST,Mavi Gök Airlines,Katowice (KTW),previstretardat,,,23:0523:25,,4M873
OST,Mavi Gök Airlines,Katowice (KTW),previstretardat,,,23:0523:25,,4M885
OST,LOT - Polish Airlines,Katowice (KTW),previstretardat,,,23:1023:24,,LO6156
OST,TUIfly,Estocolm (ARN),previstretardat,,,23:2023:40,2,X3254
OST,SunExpress,Tallinn (TLL),previst,,528,23:25,2,XQ496
OST,Jet2,Belfast (BFS),previst,,215,23:30,2,LS314
OST,UR Airlines,Hannover (HAJ),previst,,250,23:30,2,UD6881
OST,Jet2,Bristol (BRS),previstretardat,,212,23:3500:10,2,LS1810
OST,SunExpress,Paderborn (PAD),previst,,528,23:35,2,XQ368
OST,Freebird Airlines,Riga (RIX),previstretardat,,,23:4000:02,,FH727
OST,SunExpress,Greven (FMO),previst,,,23:45,1,XQ256
OST,Jet2,Londres (STN),previstretardat,,,23:4500:11,1,LS1558
OST,SunExpress,Hannover (HAJ),previstretardat,,,23:5000:10,1,XQ230
OST,Pegasus,Sant Petersburg (LED),previstretardat,,,23:5000:10,1,PC1574
OST,SunExpress,Colònia (CGN),previstretardat,,,23:5500:17,,XQ
OST,SunExpress,Colònia (CGN),previst,,,23:55,1,XQ112
OST,Pegasus,Colònia (CGN),previstretardat,,,23:5500:15,1,PC5013
OST,SunExpress,Hannover (HAJ),previstretardat,,,23:5500:16,1,XQ232
OST,Air Anka,Hannover (HAJ),previst,,,23:55,,6K6519
OST,Jet2,Leeds (LBA),previstretardat,,,23:5500:09,1,LS292
OST,Jet2,Manchester (MAN),previstretardat,,,23:5900:25,1,LS1008
OST,Belavia,Minsk (MSQ),previst,,,23:59,2,B28204
OST,Sunclass Airlines,Oslo (OSL),previstretardat,,,00:0500:15,1,DK803
OST,SunExpress,Tbilisi (TBS),previst,,,00:05,1,XQ302
OST,Pegasus,Istanbul (SAW),previstretardat,,330,00:1000:55,D,PC2031
OST,SunExpress,Skopje (SKP),previst,,,00:25,1,XQ630
OST,SunExpress,Skopje (SKP),previstretardat,,,00:2500:45,,XQ8
OST,SunExpress,Tirana (TIA),previstretardat,,,00:2500:45,1,XQ214
OST,Pegasus,(NQZ),previstretardat,,,00:4501:05,1,PC230
OST,Pegasus,Amman (AMM),previstretardat,,,01:2001:40,1,PC1800
OST,Freebird Airlines,Skopje (SKP),previstretardat,,,01:5002:12,,FH815
OST,Turkish Airlines,Moscou (VKO),previstretardat,,,01:5002:10,,TK
OST,Turkish Airlines,Sant Petersburg (LED),previstretardat,,,01:5502:15,,TK
OST,Electra Airways,Katowice (KTW),previstretardat,,,02:0002:20,,3E643
OST,SmartWings,Katowice (KTW),previstretardat,,,02:1002:30,2,QS7539
OST,Turkish Airlines,Istanbul (IST),previstretardat,,304,02:1502:25,D,TK2439
OST,Belavia,Minsk (MSQ),previst,,,02:20,2,B28104
OST,S7 Airlines,Moscou (DME),previst,,,02:55,2,S73742
OST,Turkish AirlinesFinnairLOT - Polish AirlinesTAP Air Portugal,Istanbul (IST),previstretardat,,,03:4004:00,D,TK 2441AY 3324LO 4624TP 8815
OST,Enter Air,Poznan (POZ),previstretardat,,,03:5504:09,,E47170
OST,SunExpress,Berlín (BER),previstretardat,,,04:1004:32,1,XQ658
OST,AJet,Istanbul (SAW),previst,,318,04:20,D,VF3049
OST,Pegasus,Tbilisi (TBS),previst,,,04:50,1,PC1840
OST,Corendon Air,Ciutat d'Hamburg (HAM),previstretardat,,,05:0005:20,2,XC7535
OST,LOT - Polish Airlines,Varsòvia (WAW),previstretardat,,,05:0005:20,,LO6552
OST,Southwind Airlines,Sharm el-Sheikh (SSH),previst,,,05:05,2,2S134
OST,SunExpress,Praga (PRG),previstretardat,,,05:1005:31,1,XQ320
OST,Enter Air,Lodz (LCJ),previstretardat,,,05:1505:35,,E44072
OST,SunExpress,Düsseldorf (DUS),previstretardat,,,05:3005:51,1,XQ282
OST,SunExpress,Dresden (DRS),previstretardat,,,05:4506:06,1,XQ296
OST,SunExpress,Nuremberg (NUE),previst,,,05:55,1,XQ166
OST,SunExpress,Varsòvia (WAW),previstretardat,,,05:5506:16,1,XQ422
OST,SunExpress,Düsseldorf (DUS),previstretardat,,,06:0006:21,1,XQ188
OST,SunExpress,Colònia (CGN),previstretardat,,,06:0506:26,1,XQ618
OST,Pegasus,Düsseldorf (DUS),previst,,,06:05,1,PC5677
GAN,Maldivian,Malé (MLE),aterrat,,,21:10,,Q2107
GAN,Maldivian,Kadhdhoo (KDO),previst,,,04:45,,Q2113
GKK,Maldivian,Malé (MLE),aterrat,,,17:20,,Q2265
GKK,Maldivian,Malé (MLE),aterrat,,,19:55,,Q2156
GKK,Maldivian,Malé (MLE),previst,,,06:00,,Q2269
HAQ,Maldivian,Dharavandhoo Island (DRV),previst,,,05:10,,Q2249
KDO,Maldivian,Malé (MLE),aterrat,,,19:10,,Q2167
KDO,Maldivian,Malé (MLE),previst,,,06:20,,Q2113
DRV,Maldivian,(IFU),aterrat,,,18:30,,Q2286
DRV,Minoan Air,Malé (MLE),desconegut,,,19:50,,NR505
DRV,Maldivian,Malé (MLE),previst,,,06:20,,Q2249
DRV,Minoan Air,Malé (MLE),previst,,,06:25,,NR521
KDM,Maldivian,Kaadedhdhoo (KDM),previst,,,04:50,,Q2129
RIX,VistaJet,Preveza (PVK),aterrat,,,15:00,,
RIX,Ryanair,Gènova (GOA),aterrat,,3,15:20,,FR5026
RIX,LufthansaAlitalia,Munic (MUC),aterrat,,12,15:20,,LH 1921AZ 7284
RIX,Ryanair,Budapest (BUD),aterrat,,3,15:25,,FR6279
RIX,ITA AirwaysEtihad AirwaysAir EuropaKLMLOT - Polish AirlinesBrussels AirlinesChina Eastern AirlinesCroatia AirlinesKorean AirTAP Air PortugalAerolineas ArgentinasAeromexicoTurkish AirlinesChina AirlinesAir France,Roma (FCO),aterrat,,11,15:25,,AZ 1726EY 3015UX 3206KL 3454LO 4008SN 4144MU 4453OU 5337KE 5604TP 7199AR 7257AM 8216TK 8216CI 9470AF 9824
RIX,Ryanair,Bolonya (BLQ),aterrat,,3,15:30,,FR1086
RIX,ITA AirwaysKLM,Milà (LIN),aterrat,,9,15:35,,AZ 1704KL 3478
RIX,Ryanair,Roma (FCO),aterrat,,3,15:50,,FR4930
RIX,Ryanair,Milà (MXP),aterrat,,3,15:55,,FR1071
RIX,Ryanair,Bari (BRI),aterrat,,3,16:00,,FR6190
RIX,ITA AirwaysEtihad AirwaysKLMSWISSEthiopian AirlinesLufthansaKorean AirAerolineas ArgentinasTAP Air PortugalAeromexicoTurkish AirlinesAir France,Roma (FCO),aterrat,,11,16:30,,AZ 1754EY 2889KL 3216LX 3423ET 4083LH 5085KE 5606AR 7102TP 7123AM 8224TK 8262AF 9864
RIX,easyJet,Londres (LGW),aterrat,,30,16:30,,U28288
RIX,Ryanair,Palerm (PMO),aterrat,,,16:30,,FR
RIX,Eurowings,Stuttgart (STR),aterrat,,,16:30,,EW6903
RIX,Ryanair,Gudja (MLA),aterrat,,3,16:35,,FR396
RIX,Ryanair,Venècia (VCE),aterrat,,3,16:40,,FR899
RIX,LufthansaAlitalia,Frankfurt del Main (FRA),aterrat,,12,16:45,,LH 309AZ 7274
RIX,Wizz Air,Memmingen (FMM),aterrat,,101,16:50,,W66517
RIX,KLMSAS,Amsterdam (AMS),aterrat,,105,16:55,,KL 1672SK 6847
RIX,Ryanair,Palerm (PMO),aterrat,,,17:05,,FR
RIX,Ryanair,Pisa (PSA),aterrat,,3,17:15,,FR6205
RIX,Eurowings,Düsseldorf (DUS),aterrat,,18,17:30,,EW9815
RIX,Ryanair,Roma (FCO),aterrat,,3,17:30,,FR4871
RIX,Heston Airlines,Copenhaguen (CPH),aterrat,,15,17:45,,HN3745
RIX,Wizz Air,Milà (MXP),aterrat,,103,17:50,,W66466
RIX,Air Baltic,Riga (RIX),aterrat,,37,17:55,,BT640
RIX,Ryanair,Pescara (PSR),aterrat,,3,18:00,,FR1628
RIX,Lauda Europe,Viena (VIE),aterrat,,3,18:15,,LW6195
